readmiss(*)	~*,readReq(*)	readMiss(#)
load_d_cache	D-cache-available	D-cache-full
lru_selection(*)	D-cache-full,readMiss(*)	replace(*),~*
lru_selection(*)(#)	D-cache-full,readMiss(#)	replace(*),~*
modify(*)	*	dirty(*)
write_r(*)	inWriteBack(*)	writeReq(*),BusRQ
write_n(*)	*	dirty(*),writeReq(*)
read(*)	readMiss(#)	~*,readReq(*)
channel_block	BusRQ,busIdle	blockBus
timeout(*)	~cExpire_dram(addr(*))	cExpire_dram(addr(*))
timeout(addr(*))	~cExpire_dram(addr(*))	cExpire_dram(addr(*))
self_refresh(*)	idle_dram(addr(*)),cExpire_dram(addr(*))	refresh(addr(*))
self_refresh(addr(*))	idle_dram(addr(*)),cExpire_dram(addr(*))	refresh(addr(*))
cke_high	~CKE,refresh(addr(*)),writeReq(*)	CKE
cke_high(*)	~CKE,refresh(addr(*)),writeReq(*)	CKE
writebuffer(*)	writeReq(*)	writeBackBuff(*)
writebackhit(*)	writeBackBuff(*),readReq(*)	writeBackHit(*)
readreqserve(*)	readMiss(*)	readReqAck(*)
readreqserved(*)	readReq(*)	readReqAck(*)
writereqserved(*)	writeReq(*)	writeReqAck(*)
read_n(*)		readReq(*)
dma_active	DMA_descriptor,DMA_En	DMA_active_sig
device_active	Device_En	Out_data(*)
device_active(*)	Device_En	Out_data(*)
write_d(*)	DMA_active_sig,Out_data(*)	writeReq(*),BusRQ
writebackentry(*)	replace(*),dirty(*)	inWriteBack(*)
test1(*)	REG(1)=0,~CKE	REG(3)>3
test2(*)	replace(*)	REG(2)<2
test3(*)	REG(3)>3,REG(2)<2	REG(1)=0
test4(*)	REG(1)=4	Out_data(*)
test5(*)	writeBackBuff(*),readReq(*)	writeBackHit(*)
test6(*)	REG(2)>=0	REG(1)=4
test7(*)	REG(5)<-7,REG(3)<5	REG(1)>=6,REG(8)<=5
test8(*)	REG(6)==9	REG(4)>15,REG(3)<5
test9(*)	REG(8)<=5,REG(4)==-10	REG(6)==9,REG(3)<5
test10(*)	REG(3)<5	REG(8)<=5,REG(4)>15
test11(*)	REG(4)==-10,REG(6)==9	REG(8)<=5,REG(5)<-7
test12(*)	REG(1)>=6,REG(6)==9	REG(3)<5
test13(*)	REG(4)>=1,REG(8)<=5	REG(3)<5,REG(5)<-7
test14(*)	REG(4)>=1,REG(1)>=6	REG(6)==9,REG(8)<=5
test15(*)	REG(6)==9,REG(4)==-10	REG(8)<=5,REG(1)>=6
test16(*)	REG(4)>=1	REG(1)>=6
test17(*)	REG(3)<5,REG(5)<-7	REG(4)>15,REG(6)==9
test18(*)	REG(5)<-7	REG(3)<5,REG(8)<=5
test19(*)	REG(8)<=5	REG(4)>=1
test20(*)	REG(4)>15,REG(8)<=5	REG(5)<-7,REG(3)<5
test21(*)	REG(4)>15,REG(5)<-7	REG(1)>=6,REG(3)<5
test22(*)	REG(4)>15,REG(5)<-7	REG(1)>=6
test23(*)	REG(3)<5	REG(8)<=5,REG(4)>=1
test24(*)	REG(4)>=1	REG(5)<-7
test25(*)	REG(4)>=1	REG(8)<=5
test26(*)	REG(4)>=1,REG(6)==9	REG(5)<-7
test27(*)	REG(1)>=6	REG(6)==9,REG(4)==-10
test28(*)	REG(5)<-7	REG(1)>=6,REG(4)>-7
test29(*)	REG(4)>-7	REG(5)<-7,REG(6)==9
test30(*)	REG(5)<-7,REG(4)>15	REG(6)==9
test31(*)	REG(4)==-10,REG(1)>=6	REG(3)<5,REG(8)<=5
test32(*)	REG(4)>-7	REG(3)<5,REG(6)==9
test33(*)	REG(3)<5,REG(1)>=6	REG(5)<-7
test34(*)	REG(3)<5	REG(1)>=6,REG(5)<-7
test35(*)	REG(4)>=1	REG(8)<=5,REG(1)>=6
test36(*)	REG(5)<-7	REG(8)<=5
test37(*)	REG(1)>=6,REG(8)<=5	REG(4)>-7
test38(*)	REG(4)==-10,REG(1)>=6	REG(8)<=5,REG(3)<5
test39(*)	REG(5)<-7,REG(4)>15	REG(8)<=5,REG(3)<5
